"id","name","cost_method","sale_ok","hr_expense_ok","purchase_ok","sale_layout_cat_id","management_fee","lst_price","categ_id","type","property_account_income","taxes_id","property_account_expense","supplier_taxes_id"
"base.hr_product_1","Team Building","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","502700 ค่าอบรมสัมนา",,"502700 ค่าอบรมสัมนา",
"base.hr_product_2","ค่ารถ - Team Building","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","502700 ค่าอบรมสัมนา",,"502700 ค่าอบรมสัมนา","PWHT1"
"base.hr_product_3","ค่าที่จอดรถ - Project","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","5001-14 ต้นทุน - ค่าพาหนะ",,"5001-14 ต้นทุน - ค่าพาหนะ",
"base.hr_product_4","ค่าน้ำมัน - Project","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","5001-14 ต้นทุน - ค่าพาหนะ",,"5001-14 ต้นทุน - ค่าพาหนะ",
"base.hr_product_5","ค่า TAXI - Project","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","5001-14-1 ต้นทุน- ค่าTAXI",,"5001-14-1 ต้นทุน- ค่าTAXI",
"base.hr_product_6","ค่าทางด่วน - Project","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","5001-14-2 ต้นทุน - ค่าทางด่วน",,"5001-14-2 ต้นทุน - ค่าทางด่วน",
"base.hr_product_7","ค่าที่จอดรถ - ส่วนกลาง","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","500700 ค่าใช้จ่ายพาหนะและเดินทาง",,"500700 ค่าใช้จ่ายพาหนะและเดินทาง",
"base.hr_product_8","ค่าน้ำมัน - ส่วนกลาง","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","500700 ค่าใช้จ่ายพาหนะและเดินทาง",,"500700 ค่าใช้จ่ายพาหนะและเดินทาง",
"base.hr_product_9","ค่า TAXI - ส่วนกลาง","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","5007-1 ค่าใช้จ่าย - ค่า TAXI",,"5007-1 ค่าใช้จ่าย - ค่า TAXI",
"base.hr_product_10","ค่าทางด่วน - ส่วนกลาง","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","5007-2 ค่าใช้จ่าย - ค่าทางด่วน",,"5007-2 ค่าใช้จ่าย - ค่าทางด่วน",
"base.hr_product_11","ค่า TAXI - เดินทางอบรม","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","502700 ค่าอบรมสัมนา",,"502700 ค่าอบรมสัมนา",
"base.hr_product_12","ค่าทางด่วน - เดินทางอบรม","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","502700 ค่าอบรมสัมนา",,"502700 ค่าอบรมสัมนา",
"base.product_homepro_1","ค่าบริการส่วนกลาง","Standard Price","TRUE","FALSE","FALSE","Homepro",,,"Homepro","service","4013-26 รายได้ - ค่าบริการส่วนกลาง","DS7,IWHT3",,
"base.product_homepro_2","ค่าบริการโทรศัพท์ชั่วคราว","Standard Price","TRUE","FALSE","FALSE","Homepro",,,"Homepro","service","4013-27 รายได้ - ค่าบริการโทรศัพท์","DS7,IWHT3",,
"base.product_homepro_3","ค่าจ่ายน้ำ และน้ำทิ้ง","Standard Price","TRUE","FALSE","FALSE","Homepro",,,"Homepro","service","4013-28 รายได้ - ค่าบริการจ่ายน้ำและน้ำทิ้ง","DS7,IWHT3",,
"base.product_homepro_4","ค่าบริการคูหามาตรฐาน","Standard Price","TRUE","FALSE","FALSE","Homepro",,,"Homepro","service","4013-29 รายได้ - ค่าติดตั้งบูธ","DS7,IWHT3",,
"base.product_homepro_5","ค่าอุปกรณ์ไฟก่อสร้างและรื้อถอน","Standard Price","TRUE","FALSE","FALSE","Homepro",,,"Homepro","service","4013-31 รายได้ - ค่าไฟก่อสร้างรื้อถอน","DS7,IWHT3",,
"base.product_homepro_6","ค่าบริการอุปกรณ์ไฟฟ้า/กระแสไฟฟ้า","Standard Price","TRUE","FALSE","FALSE","Homepro",,,"Homepro","service","4013-25 รายได้ - ค่าติดตั้งอุปกรณ์ไฟฟ้า","DS7,IWHT3",,
"base.product_homepro_7","ค่าบริการ Internet Leased Line","Standard Price","TRUE","FALSE","FALSE","Homepro",,,"Homepro","service","4013-27 รายได้ - ค่าบริการโทรศัพท์","DS7,IWHT3",,
"base.product_homepro_8","ค่าบริการทำความสะอาด","Standard Price","TRUE","FALSE","FALSE","Homepro",,,"Homepro","service","4013-12 รายได้ค่าบริการอื่นๆ","DS7,IWHT3",,
"base.product_homepro_9","ค่าบริการพรมอัดสีเทาปูพื้น","Standard Price","TRUE","FALSE","FALSE","Homepro",,,"Homepro","service","4013-12 รายได้ค่าบริการอื่นๆ","DS7,IWHT3",,
"base.product_homepro_10","ค่าบริการตู้ Container","Standard Price","TRUE","FALSE","FALSE","Homepro",,,"Homepro","service","4013-12 รายได้ค่าบริการอื่นๆ","DS7,IWHT3",,
"base.product_homepro_11","ค่าธงราวประดับคูหา","Standard Price","TRUE","FALSE","FALSE","Homepro",,,"Homepro","service","4013-12 รายได้ค่าบริการอื่นๆ","DS7,IWHT3",,
"base.product_project_cost_1","ค่าโครงสร้างและตกแต่ง","Standard Price","FALSE","FALSE","TRUE",,,,"Project Cost","service",,,"5001-01 ต้นทุน - ค่าตกแต่ง","D7,PWHT3"
"base.product_project_cost_2","ค่าบริการ/ค่าเช่าอุปกรณ์","Standard Price","FALSE","FALSE","TRUE",,,,"Project Cost","service",,,"5001-03 ต้นทุน - ค่าบริการเช่าอุปกรณ์","D7,PWHT3"
"base.product_project_cost_3","ค่าจัดแสดงและกิจกรรม","Standard Price","FALSE","FALSE","TRUE",,,,"Project Cost","service",,,"5001-04 ต้นทุน - ค่าจัดการแสดงและกิจกรรม","D7,PWHT3"
"base.product_project_cost_4","ค่าติดตั้งอุปกรณ์ ภาพแสงเสียง","Standard Price","FALSE","FALSE","TRUE",,,,"Project Cost","service",,,"5001-05 ต้นทุน - ค่าจัดแสดงแสงเสียง","D7,PWHT3"
"base.product_project_cost_5","ค่าใช้จ่ายในการดำเนินงาน","Standard Price","FALSE","FALSE","TRUE",,,,"Project Cost","service",,,"5001-06 ต้นทุน - ค่าใช้จ่ายในการดำเนินงาน","D7,PWHT3"
"base.product_project_cost_6","ค่าจัดทำซาวน์โปรดักส์ชั่น","Standard Price","FALSE","FALSE","TRUE",,,,"Project Cost","service",,,"5001-09 ต้นทุน - ค่าจัดทำซาวน์โปรดักส์ชั่น","D7,PWHT3"
"base.product_project_cost_7","ค่าบริการอื่นๆ","Standard Price","FALSE","FALSE","TRUE",,,,"Project Cost","service",,,"5001-12 ต้นทุน - ค่าบริการอื่นๆ","D7,PWHT3"
"base.product_project_cost_8","ค่าจ้างประสานงาน","Standard Price","FALSE","FALSE","TRUE",,,,"Project Cost","service",,,"5001-13 ต้นทุน - ค่าจ้างประสานงาน","D7,PWHT3"
"base.product_project_cost_9","ค่าพาหนะ","Standard Price","FALSE","FALSE","TRUE",,,,"Project Cost","service",,,"5001-14 ต้นทุน - ค่าพาหนะ",
"base.product_project_cost_10","ค่า TAXI","Standard Price","FALSE","FALSE","TRUE",,,,"Project Cost","service",,,"5001-14-1 ต้นทุน- ค่าTAXI",
"base.product_project_cost_11","ค่าทางด่วน","Standard Price","FALSE","FALSE","TRUE",,,,"Project Cost","service",,,"5001-14-2 ต้นทุน - ค่าทางด่วน",
"base.product_project_cost_12","ค่าตั๋วเครื่องบิน","Standard Price","FALSE","FALSE","TRUE",,,,"Project Cost","service",,,"5001-14-3 ต้นทุน- ค่าตั๋วเครื่องบิน",
"base.product_project_cost_13","ค่าจ้างช่างถ่ายภาพ","Standard Price","FALSE","FALSE","TRUE",,,,"Project Cost","service",,,"5001-15 ต้นทุน - ค่าถ่ายภาพ","PWHT3"
"base.product_project_cost_14","ค่าจ้าง Staff","Standard Price","FALSE","FALSE","TRUE",,,,"Project Cost","service",,,"5001-16 ต้นทุน - ค่าจ้าง Staff","PWHT3"
"base.product_project_cost_15","ค่าอาหารและเครื่องดื่ม","Standard Price","FALSE","FALSE","TRUE",,,,"Project Cost","service",,,"5001-19 ต้นทุน - ค่าอาหารและเครื่องดื่ม",
